method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,73.30574154853821,40.251611948013306,6563.0,22108.0,8.0,76.0,1.236842105263158,94.0,67.0,2.884796619415283,21636.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,72.2035219669342,40.14303231239319,6531.0,21768.0,8.0,76.0,1.236842105263158,94.0,67.0,2.583465814590454,21736.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,48.58230710029602,28.230602741241455,4633.0,21528.0,11.0,80.0,1.2125,97.0,67.0,3.9623608589172363,21280.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,87.7361695766449,48.06843686103821,7847.0,21680.0,8.0,76.0,1.236842105263158,94.0,67.0,2.327056646347046,21868.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,91.29757905006409,49.54588961601257,7997.0,21744.0,8.0,76.0,1.236842105263158,94.0,67.0,2.2795307636260986,21420.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,74.88433313369751,41.072219371795654,6675.0,22260.0,8.0,76.0,1.236842105263158,94.0,67.0,3.3284683227539062,21576.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,80.27294754981995,44.78186368942261,7257.0,21624.0,8.0,76.0,1.236842105263158,94.0,67.0,2.5378355979919434,21712.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,79.69151449203491,43.91037392616272,7128.0,21708.0,8.0,76.0,1.236842105263158,94.0,67.0,2.31571626663208,21704.0
arvada,while,dec-ase21-h,1.0,1.0,1.0,59.16164803504944,42.908064126968384,7001.0,21948.0,7.0,17.0,2.8823529411764706,49.0,18.0,17.655423641204834,36976.0
arvada,while,dec-ase21-h,1.0,1.0,1.0,51.841269731521606,37.730801582336426,6153.0,21572.0,6.0,16.0,3.0,48.0,18.0,17.103447198867798,36840.0
arvada,while,dec-ase21-h,1.0,0.424,0.5955056179775281,46.801634550094604,33.56246900558472,5458.0,21640.0,6.0,16.0,3.125,50.0,18.0,3.882838487625122,23412.0
arvada,while,dec-ase21-h,1.0,0.64,0.7804878048780487,54.52931785583496,39.31142568588257,6409.0,21392.0,7.0,17.0,2.8823529411764706,49.0,18.0,7.620739698410034,25944.0
arvada,while,dec-ase21-h,1.0,0.64,0.7804878048780487,52.36525225639343,37.06450438499451,6059.0,21352.0,6.0,16.0,3.0,48.0,18.0,7.0689051151275635,25064.0
arvada,while,dec-ase21-h,1.0,1.0,1.0,50.41834115982056,35.84430003166199,5882.0,21112.0,7.0,17.0,2.764705882352941,47.0,18.0,17.891940116882324,36516.0
arvada,while,dec-ase21-h,1.0,1.0,1.0,53.89280462265015,38.69491934776306,6324.0,21716.0,7.0,17.0,2.764705882352941,47.0,18.0,17.979983806610107,34832.0
arvada,while,dec-ase21-h,1.0,0.424,0.5955056179775281,47.58255624771118,34.02986693382263,5545.0,21592.0,6.0,16.0,3.125,50.0,18.0,3.3290436267852783,22728.0
arvada,while,dec-ase21-h,1.0,1.0,1.0,49.88252806663513,36.491395711898804,5968.0,21544.0,7.0,17.0,2.764705882352941,47.0,18.0,18.137461185455322,35156.0
arvada,while,dec-ase21-h,1.0,1.0,1.0,56.46679663658142,41.34130573272705,6720.0,22048.0,6.0,16.0,3.125,50.0,18.0,18.0542733669281,35444.0
arvada,while,dec-r1,1.0,1.0,1.0,2058.9724242687225,499.5263090133667,39623.0,90196.0,26.0,57.0,2.5964912280701755,148.0,18.0,38.76445984840393,54232.0
arvada,while,dec-r1,1.0,1.0,1.0,1676.7792437076569,355.07329416275024,32523.0,109568.0,28.0,59.0,2.305084745762712,136.0,18.0,51.705257177352905,51628.0
arvada,while,dec-r1,1.0,1.0,1.0,2283.4924409389496,341.81149768829346,32844.0,86244.0,20.0,45.0,2.422222222222222,109.0,18.0,47.52261686325073,46980.0
arvada,while,dec-r1,1.0,1.0,1.0,1500.7688293457031,262.9804275035858,22532.0,88816.0,18.0,39.0,2.2051282051282053,86.0,18.0,35.78070402145386,46360.0
arvada,while,dec-r1,1.0,0.828,0.9059080962800875,1889.879118680954,441.44413471221924,34556.0,108832.0,25.0,56.0,2.5,140.0,18.0,27.229068279266357,49592.0
arvada,while,dec-r1,1.0,1.0,1.0,1247.1145215034485,233.45231366157532,23752.0,72464.0,13.0,31.0,2.967741935483871,92.0,18.0,22.620290279388428,44296.0
arvada,while,dec-r1,0.401,1.0,0.5724482512491078,1854.6283435821533,385.03934049606323,33215.0,109068.0,21.0,46.0,2.8043478260869565,129.0,18.0,33.711069107055664,44848.0
arvada,while,dec-r1,1.0,0.888,0.940677966101695,1635.4873311519623,341.3112723827362,29504.0,111664.0,24.0,50.0,2.42,121.0,18.0,29.159613370895386,46656.0
arvada,while,dec-r1,1.0,0.828,0.9059080962800875,1468.962878704071,371.4788775444031,30521.0,102040.0,27.0,60.0,2.683333333333333,161.0,18.0,32.995163679122925,48912.0
arvada,while,dec-r1,1.0,1.0,1.0,1881.9259243011475,386.34088373184204,33990.0,87644.0,20.0,43.0,2.7674418604651163,119.0,18.0,26.710268020629883,43576.0
arvada,while,dec-r2,1.0,1.0,1.0,1295.8982117176056,310.059513092041,25483.0,94268.0,21.0,45.0,2.2,99.0,18.0,25.089537620544434,45780.0
arvada,while,dec-r2,1.0,1.0,1.0,1240.1554374694824,273.55019998550415,22389.0,86680.0,24.0,49.0,2.183673469387755,107.0,18.0,33.713894844055176,46056.0
arvada,while,dec-r2,1.0,1.0,1.0,1704.7694780826569,281.45077681541443,28292.0,74620.0,16.0,34.0,3.1470588235294117,107.0,18.0,25.587432146072388,39360.0
arvada,while,dec-r2,1.0,1.0,1.0,1343.8939590454102,280.42452573776245,28155.0,74844.0,18.0,41.0,2.8780487804878048,118.0,18.0,32.5168399810791,47200.0
arvada,while,dec-r2,1.0,1.0,1.0,1169.3657431602478,235.65679240226746,21212.0,78952.0,15.0,31.0,2.4193548387096775,75.0,18.0,31.362892866134644,53416.0
