method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,lisp,r1,1.0,0.219,0.3593109105824446,13475.919278860092,237.87564158439636,12476.0,44174412.0,10.0,70.0,20.885714285714286,1462.0,40.0,12.777644395828247,24392.0
arvada,lisp,r1,0.964,1.0,0.9816700610997963,9456.613084316254,2962.7156002521515,47100.0,2387828.0,26.0,108.0,4.2407407407407405,458.0,40.0,262.9853835105896,62256.0
arvada,lisp,r2,0.717,0.986,0.8302548443922491,1043.1542148590088,502.7896101474762,37870.0,103620.0,32.0,124.0,1.6612903225806452,206.0,40.0,304.84809732437134,64600.0
arvada,lisp,r2,0.64,0.994,0.778653610771114,1128.3850696086884,641.6022696495056,38788.0,150252.0,28.0,123.0,1.5934959349593496,196.0,40.0,303.21527314186096,64604.0
arvada,lisp,r2,0.661,0.978,0.7888444173276388,619.1376464366913,296.8116297721863,22758.0,89432.0,27.0,107.0,1.6168224299065421,173.0,40.0,311.7503318786621,62504.0
arvada,lisp,r2,0.849,0.963,0.9024139072847682,1047.7446250915527,514.3402240276337,32863.0,148516.0,26.0,115.0,1.626086956521739,187.0,40.0,377.24144101142883,69740.0
arvada,lisp,r2,0.57,1.0,0.7261146496815287,1922.5804960727692,1023.3195540904999,54177.0,238840.0,29.0,119.0,2.3781512605042017,283.0,40.0,258.7652065753937,50796.0
arvada,lisp,r2,0.945,0.75,0.836283185840708,882.7844996452332,430.6338393688202,29958.0,222604.0,27.0,109.0,2.9174311926605503,318.0,40.0,83.88979053497314,35908.0
arvada,lisp,r2,0.682,0.967,0.7998714372346877,1302.888093471527,634.2512032985687,34622.0,258164.0,32.0,123.0,2.7398373983739837,337.0,40.0,315.3016495704651,66840.0
arvada,lisp,r2,0.6,0.978,0.7437262357414449,1338.5755009651184,637.834481716156,35524.0,227744.0,23.0,101.0,2.01980198019802,204.0,40.0,254.4272153377533,56836.0
arvada,lisp,r2,0.743,1.0,0.8525530694205393,1324.3093943595886,674.9647557735443,43039.0,149396.0,26.0,113.0,1.6725663716814159,189.0,40.0,283.2102882862091,65100.0
arvada,lisp,r2,0.408,1.0,0.5795454545454546,1300.8397076129913,551.5874872207642,32073.0,231304.0,26.0,104.0,2.605769230769231,271.0,40.0,245.98785042762756,60884.0
arvada,turtle,ase21-h,1.0,1.0,1.0,78.56974792480469,49.91306257247925,7716.0,20940.0,14.0,87.0,1.2873563218390804,112.0,67.0,8.792478084564209,25960.0
arvada,turtle,ase21-h,1.0,1.0,1.0,87.61316871643066,53.60627007484436,7818.0,20844.0,15.0,88.0,1.3068181818181819,115.0,67.0,8.213694334030151,24060.0
arvada,turtle,ase21-h,1.0,1.0,1.0,83.42594528198242,51.6832435131073,7566.0,21484.0,14.0,88.0,1.3295454545454546,117.0,67.0,8.884750127792358,25468.0
arvada,turtle,ase21-h,1.0,1.0,1.0,64.30963563919067,39.14140295982361,6044.0,20512.0,12.0,84.0,1.25,105.0,67.0,7.91597056388855,24816.0
arvada,turtle,ase21-h,1.0,1.0,1.0,59.499027490615845,36.694393157958984,5861.0,20460.0,12.0,84.0,1.25,105.0,67.0,8.108920574188232,24848.0
